M,L,B,S,Shrinkage Lambda,Time Window (Years)
82.3910669313339,1.0,7.647066154119822,227.8387296348464,0.0,10
43.156418599009186,1.0,6.9303558473394435,113.61172768999309,0.2,10
35.76309643199693,1.0,6.50034249237738,91.18076540070797,0.4,10
32.06883378203296,1.0,6.198095209960461,79.83848517820572,0.6,10
29.92766862127309,1.0,6.222928653581492,74.6569592534006,0.8,10
81.25800899641047,1.0,7.4678851359039,222.05726764646425,0.0,20
45.21750828144005,1.0,6.5657418715890605,115.86400305973144,0.2,20
37.69083254977061,1.0,6.660187336948524,97.27000836279842,0.4,20
33.88573404446029,1.0,6.479371350452006,86.25481212313615,0.6,20
31.67514897858564,1.0,6.30229464648027,79.51847049029388,0.8,20
