M,L,B,S,explained_variance_ratio,n_factors,Time Window (Years)
82.39106693133499,1.0,7.524795949537262,226.00991431813506,1.0,0,10
32.14838789190735,1.0,7.696951276067057,89.19049380701242,0.6331495781022463,1,10
34.17710938408997,1.0,8.211709938538947,97.9382024144421,0.7431635016353754,2,10
36.75804570303029,1.0,8.295739284957545,105.87171806753715,0.8182476685422246,3,10
39.981421100076744,1.0,9.043398007805514,120.23310119565326,0.8700393943333767,4,10
40.82147439248826,1.0,9.379862526503125,125.02213848973628,0.9026755630385123,5,10
41.36750855657638,1.0,9.451965493783003,127.18047103834024,0.925329786634966,6,10
42.8064030852914,1.0,9.58724463856581,132.54264755121574,0.9437595218925835,7,10
44.86970600246111,1.0,9.66804615866508,139.51553908692577,0.9583427612354998,8,10
45.33805893010777,1.0,9.85402062527476,142.3212194009935,0.9687187987737793,9,10
47.27692259006383,1.0,9.929825290385319,148.97726699883944,0.976913900334615,10,10
49.20967826457775,1.0,9.903192213164118,154.85959881386447,0.9829690025217779,11,10
52.340921005431674,1.0,9.87203908681328,164.45413336432404,0.9870770396852685,12,10
57.180398964450674,1.0,9.660752613124417,177.72669374906454,0.9903440745111328,13,10
64.83533350249819,1.0,9.520214539069004,200.04841593684597,0.9929123904502712,14,10
69.40947059829467,1.0,9.432590100074847,213.17398954783567,0.9952296156098457,15,10
84.98697615850453,1.0,8.639050274087808,249.79594148023904,0.9970350239987916,16,10
93.30467592074403,1.0,8.631949986150866,274.13082079815194,0.9983853174092104,17,10
98.94086331974147,1.0,8.098250308865518,281.5602185632887,0.9992746651258296,18,10
95.97148335399214,1.0,7.719826462080704,266.6526943217847,0.9995842943281436,19,10
97.02229211335417,1.0,7.205567547095748,260.43876503524484,0.9998415650356537,20,10
88.1595606312102,1.0,7.16530156859215,235.98622540327798,0.9999469311189566,21,10
82.39106693133499,1.0,7.397572480237638,224.09116857110905,1.0,22,10
82.39106693133499,1.0,7.508241409792329,225.7611666963192,1.0,22,10
81.2580089964103,1.0,7.437350218110691,221.60282535287712,1.0,0,20
33.85999253224867,1.0,7.434848798121043,92.32576787215898,0.6126852681013295,1,20
35.858841418758495,1.0,7.912245118285236,100.86630694841966,0.7318581908037076,2,20
37.95060275270045,1.0,8.375696557233654,109.83206409408629,0.8041000461940472,3,20
41.63487792424719,1.0,8.830294605694242,123.72141894526783,0.8554226703915545,4,20
42.911585900709056,1.0,8.923024382238236,128.18305119801846,0.8924855731294127,5,20
43.31768822298621,1.0,9.196721477511145,131.36564066511195,0.9198461572631192,6,20
44.02167368336885,1.0,9.35443718572901,134.64039644718267,0.940698146275665,7,20
45.9653658397218,1.0,9.60861239997927,142.4823463861807,0.9556170498025653,8,20
46.700002403599434,1.0,9.461006664615791,143.64336722854247,0.9668832829923106,9,20
47.64137400892394,1.0,9.620805727811577,147.7712683128168,0.9759487477942439,10,20
50.55581947507265,1.0,9.662296182673545,157.1488934742183,0.9824445863097085,11,20
53.53927195099118,1.0,9.666032696956197,166.45490265721511,0.9865506940122036,12,20
58.450226942525724,1.0,9.59640395361729,181.0674820259582,0.9899929313387721,13,20
65.33342011425968,1.0,9.35805757621357,199.86108922591416,0.9925199490512411,14,20
69.61942552624886,1.0,9.401491089192008,213.46604546583973,0.9948921224093612,15,20
83.66454041567094,1.0,8.826679847831011,248.56508051004846,0.9968122420087807,16,20
92.58513751314419,1.0,8.671652559594055,272.64165567892934,0.9981815619691011,17,20
97.59109879055643,1.0,7.843669566945523,273.31901860914763,0.9991627172689129,18,20
97.04738829680618,1.0,7.544405718692137,266.5608533853654,0.9995378871358933,19,20
94.38986656671213,1.0,7.028117527511323,250.23317124631615,0.9998236631036941,20,20
86.21756228920007,1.0,7.297094009297828,232.90065511874917,0.9999409357378182,21,20
81.2580089964103,1.0,7.5800572576615455,223.71876850656432,1.0,22,20
81.2580089964103,1.0,7.522378807562874,222.86597860341595,1.0,22,20
