,M,L,B,S,Shrinkage Lambda,Time Window (Years)
0,82.39106693133418,1.0,7.497868902603879,225.60517020435861,0.0,10
1,43.15641859900918,1.0,6.612780746523477,110.97814432200065,0.2,10
2,35.76309643199693,1.0,6.634525651207125,92.11705658524575,0.4,10
3,32.06883378203296,1.0,5.981082897407532,78.4283498581124,0.6,10
4,29.92766862127309,1.0,6.01988800041727,73.42891179545786,0.8,10
