,M,L,B,S,explained_variance_ratio,n_factors,Time Window (Years)
0,82.39106693133645,1.0,7.631585360236077,227.60799334747523,1.0,0,10
1,32.148387891907355,1.0,7.473564683404091,87.88668802790191,0.6331495781022464,1,10
2,34.17710938408998,1.0,8.081190219375493,97.15675322153642,0.7431635016353755,2,10
3,36.75804570303031,1.0,8.630444652617859,107.98638412984639,0.8182476685422246,3,10
4,39.981421100076766,1.0,9.161638137278162,121.01655725301171,0.8700393943333767,4,10
5,40.8214743924883,1.0,8.967969413820112,122.24630631192778,0.9026755630385123,5,10
6,41.36750855657641,1.0,9.296049225551286,126.12714720491138,0.9253297866349661,6,10
7,42.806403085291436,1.0,9.671724895759418,133.12533208094703,0.9437595218925837,7,10
8,44.869706002461186,1.0,9.922679314951695,141.34085101454872,0.9583427612355,8,10
9,45.33805893010785,1.0,9.838234549290139,142.2071748811126,0.9687187987737795,9,10
10,47.276922590063954,1.0,9.875926741322237,148.57239661547746,0.9769139003346152,10,10
11,49.20967826457791,1.0,9.883381489653253,154.70462774787103,0.9829690025217779,11,10
12,52.3409210054319,1.0,9.89539903264046,164.64859013788734,0.9870770396852686,12,10
13,57.180398964450994,1.0,9.769849648237571,178.72739331617163,0.990344074511133,13,10
14,64.83533350249868,1.0,9.301155155084244,197.73347265471952,0.9929123904502712,14,10
15,69.40947059829531,1.0,9.480269081147794,213.71207648662983,0.9952296156098457,15,10
16,84.98697615850617,1.0,8.66150033640628,250.12029981277274,0.9970350239987918,16,10
17,93.30467592074594,1.0,8.710515396226532,275.3755230882542,0.9983853174092105,17,10
18,98.94086331974395,1.0,8.013372389384957,280.0808128605592,0.9992746651258299,18,10
19,95.97148335399497,1.0,7.694532986091622,266.2155013903712,0.9995842943281437,19,10
20,97.02229211335758,1.0,7.040582906172357,257.43988863524476,0.9998415650356539,20,10
21,88.159560631212,1.0,7.147640627071909,235.6952180951152,0.9999469311189566,21,10
22,82.39106693133645,1.0,7.423561071579102,224.4844535195486,1.0,22,10
